Time,Real Values,Forecasting Values
2023-06-05 00:00:00,14.4592679513952,11.548800064763501
2023-06-05 01:00:00,3.546861203197198,13.599184420457517
2023-06-05 02:00:00,4.713138444204477,2.1263324041951632
2023-06-05 03:00:00,11.067531784295817,3.9171487804230374
2023-06-05 04:00:00,1.0,9.15509188822792
2023-06-05 05:00:00,4.9321907074906335,-0.05582432934687531
2023-06-05 06:00:00,7.5695913711092935,3.9876870867127234
2023-06-05 07:00:00,1.0,6.126944896621617
2023-06-05 08:00:00,24.61193913610043,-0.043659521418760394
2023-06-05 09:00:00,1.0,22.957381092577116
2023-06-05 10:00:00,16.681954429883717,-0.04884273435363218
2023-06-05 11:00:00,22.8081494781314,15.189670006750678
2023-06-05 12:00:00,14.08187313666032,20.99838570997716
2023-06-05 13:00:00,9.488880369100814,12.448647322427151
