,name,description,short_name,id
1798,Precio medio mensual final suma de componentes,"<p>Cumpliendo con lo especificado en la disposición adicional quinta de la Orden ITC/1659/2009, en este apartado se publica el coste final de la energía, así como los componentes del precio final, en agregado y para cada tipo de consumidor.</p><p>El desglose de este indicador detalla los componentes del precio medio ponderado mensual de la energía para todos los tipos de consumidores</p><p><b>Publicación:</b> diariamente a partir de las 19:30 horas se publica el avance para todos los días del mes en curso. El cierre C2 del mes M-1 en los diez primeros días del mes y el resto de cierres dos días después de su fecha de facturación según el calendario de liquidaciones.</p>",Precio medio mensual final suma,10216
1799,Precio medio anual final suma de componentes,"<p>Cumpliendo con lo especificado en la disposición adicional quinta de la Orden ITC/1659/2009, en este apartado se publica el coste final de la energía, así como los componentes del precio final, en agregado y para cada tipo de consumidor.</p><p>El desglose de este indicador detalla los componenetes del precio medio ponderado anual de la energía para todos los tipos de consumidores.</p><p><b>Publicación:</b> diariamente a partir de las 19:30 horas se publica el avance para todos los días del mes en curso. El cierre C2 del mes M-1 en los diez primeros días del mes y el resto de cierres dos días después de su fecha de facturación según el calendario de liquidaciones.</p>",Precio medio anual final suma,10217
1800,Precio medio mensual final comercialización de referencia suma de componentes,"<p>Cumpliendo con lo especificado en la disposición adicional quinta de la Orden ITC/1659/2009, en este apartado se publica el coste final de la energía, así como los componentes del precio final, en agregado y para cada tipo de consumidor.</p><p>El desglose de este indicador detalla las componentes del precio medio ponderado mensual de la energía para el tipo de consumidor comercializador de referencia.</p><p><b>Publicación:</b> diariamente a partir de las 19:30 horas se publica el avance para todos los días del mes en curso. El cierre C2 del mes M-1 en los diez primeros días del mes y el resto de cierres dos días después de su fecha de facturación según el calendario de liquidaciones.</p>",Precio medio mensual final Com.Ref. suma,10218
1801,Precio medio mensual final contratación libre suma de componentes,"<p>Cumpliendo con lo especificado en la disposición adicional quinta de la Orden ITC/1659/2009, en este apartado se publica el coste final de la energía, así como los componentes del precio final, en agregado y para cada tipo de consumidor.</p><p>El desglose de este indicador detalla los componentes del precio medio ponderado mensual de la energía para el tipo de consumidor de contratación libre.</p><p><b>Publicación:</b> diariamente a partir de las 19:30 horas se publica el avance para todos los días del mes en curso. El cierre C2 del mes M-1 en los diez primeros días del mes y el resto de cierres dos días después de su fecha de facturación según el calendario de liquidaciones.</p>",Precio medio mensual final c.libre sum,10219
1917,Precio medio ponderado de las necesidades cubiertas de energías de balance RR a subir,"<p>El proceso de activaci&oacute;n de ofertas de energ&iacute;as procedentes de reservas de sustituci&oacute;n (RR, por sus siglas en ingl&eacute;s) tiene por objeto restablecer o mantener el nivel requerido de energ&iacute;as de recuperaci&oacute;n de la frecuencia con activaci&oacute;n manual y autom&aacute;tica (energ&iacute;as de regulaci&oacute;n terciaria y secundaria, respectivamente), al objeto de preparar el sistema para posibles desbalances que puedan registrarse posteriormente.</p>

<p>Este servicio se encuentra regulado en el P.O.-3.3.</p>

<p>En concreto este indicador se refiere al precio medio ponderado resultante de la cobertura de la necesidad a subir de la zona de oferta espa&ntilde;ola establecido por la plataforma europea de RR.</p>

<p>La fuente de informaci&oacute;n que proporciona este dato es REE.</p>

<p><b>Publicaci&oacute;n:</b>&nbsp;cada hora con la informaci&oacute;n disponible hasta ese momento del d&iacute;a D se tiene un precio provisional. Al d&iacute;a siguiente se actualiza la informaci&oacute;n de todo el d&iacute;a anterior ya con el cierre.</p>
",Precio Ponderado Energia Balance RR subir,10384
1918,Precio medio ponderado de las necesidades cubiertas de energías de balance RR a bajar,"<p>El proceso de activaci&oacute;n de ofertas de energ&iacute;as procedentes de reservas de sustituci&oacute;n (RR, por sus siglas en ingl&eacute;s) tiene por objeto restablecer o mantener el nivel requerido de energ&iacute;as de recuperaci&oacute;n de la frecuencia con activaci&oacute;n manual y autom&aacute;tica (energ&iacute;as de regulaci&oacute;n terciaria y secundaria, respectivamente), al objeto de preparar el sistema para posibles desbalances que puedan registrarse posteriormente.</p>

<p>Este servicio se encuentra regulado en el P.O.-3.3.</p>

<p>En concreto este indicador se refiere al precio medio ponderado resultante de la cobertura de la necesidad a bajar de la zona de oferta espa&ntilde;ola establecido por la plataforma europea de RR.</p>

<p>La fuente de informaci&oacute;n que proporciona este dato es REE.</p>

<p><b>Publicaci&oacute;n:</b>&nbsp;cada hora con la informaci&oacute;n disponible hasta ese momento del d&iacute;a D se tiene un precio provisional. Al d&iacute;a siguiente se actualiza la informaci&oacute;n de todo el d&iacute;a anterior ya con el cierre.</p>
",Precio Ponderado Energia Balance RR bajar,10385
1919,Precio medio ponderado regulación terciaria a subir,"<p>Precio medio ponderado regulación terciaria a subir</p><p>La regulación terciaria es uno de los servicios de balance de activación de reservas de potencia activa que tiene por objeto mantener la frecuencia y el equilibrio generación-demanda del sistema. Este servicio, de activación manual en un tiempo igual o inferior a 15 minutos, es gestionado por el OS mediante mecanismos del mercado y permite la restitución del uso de reserva automática de regulación secundaria. La asignación del servicio de regulación terciaria se realiza teniendo en cuenta las ofertas enviadas a tal fin por las Unidades de Programación habilitadas para la prestación de este servicio; la energía de regulación terciaria asignada será valorada al precio marginal resultante del proceso de asignación en cada período de programación.</p><p>Este servicio se encuentra regulado en el P.O. 7.3</p><p>En concreto este indicador se refiere al precio medio ponderado resultante de la asignación de energía de regulación terciaria a subir</p><p>La fuente de información que proporciona este dato es REE.</p><p><b>Publicación:</b> a más tardar, 30 minutos después del correspondiente periodo de programación.</p>",Precio medio ponderado subir,10386
1920,Precio medio ponderado regulación terciaria a bajar,"<p>Precio medio ponderado regulación terciaria a bajar</p><p>La regulación terciaria es uno de los servicios de balance de activación de reservas de potencia activa que tiene por objeto mantener la frecuencia y el equilibrio generación-demanda del sistema. Este servicio, de activación manual en un tiempo igual o inferior a 15 minutos, es gestionado por el OS mediante mecanismos del mercado y permite la restitución del uso de reserva automática de regulación secundaria. La asignación del servicio de regulación terciaria se realiza teniendo en cuenta las ofertas enviadas a tal fin por las Unidades de Programación habilitadas para la prestación de este servicio; la energía de regulación terciaria asignada será valorada al precio marginal resultante del proceso de asignación en cada período de programación.</p><p>Este servicio se encuentra regulado en el P.O. 7.3</p><p>En concreto este indicador se refiere al precio medio ponderado resultante de la asignación de energía de regulación terciaria a bajar</p><p>La fuente de información que proporciona este dato es REE.</p><p><b>Publicación:</b> a más tardar, 30 minutos después del correspondiente periodo de programación.</p>",Precio medio ponderado bajar,10387
1925,Precio medio ponderado programación de reserva adicional Tiempo Real,"<p class=""Textonormal"">El proceso de soluci&oacute;n de restricciones t&eacute;cnicas en Tiempo Real es realizado por el Operador del sistema que consiste en la resoluci&oacute;n de las restricciones t&eacute;cnicas identificadas durante la operaci&oacute;n en tiempo real mediante la modificaci&oacute;n de los programas de las Unidades de Programaci&oacute;n.<o:p></o:p></p>

<p class=""Textonormal"">Este servicio se encuentra regulado en el P.O.-3.2.<o:p></o:p></p>

<p class=""Textonormal"">En concreto este indicador se refiere al precio medio ponderado de la reserva de potencia adicional a subir programada en el proceso de soluci&oacute;n de restricciones t&eacute;cnicas en tiempo real.<o:p></o:p></p>

<p class=""Textonormal""><strong>Publicaci&oacute;n:</strong> diariamente a las 7:45 con la informaci&oacute;n del d&iacute;a anterior y a partir de las 19:30 para d&iacute;as pasados seg&uacute;n el calendario de liquidaciones.<o:p></o:p></p>
",Precio reserva adicional,10392
1931,Precio medio ponderado regulación terciaria a subir de activación programada (AP),"<p>La regulación terciaria es uno de los servicios de balance de activación de reservas de potencia activa que tiene por objeto mantener la frecuencia y el equilibrio generación-demanda del sistema. Este servicio, de activación manual en un tiempo igual o inferior a 15 minutos, es gestionado por el OS mediante mecanismos del mercado y permite la restitución del uso de reserva automática de regulación secundaria. La asignación del servicio de regulación terciaria se realiza teniendo en cuenta las ofertas enviadas a tal fin por las Unidades de Programación habilitadas para la prestación de este servicio; la energía de regulación terciaria asignada será valorada al precio marginal resultante del proceso de asignación en cada período de programación.</p><p>Este servicio se encuentra regulado en el P.O. 7.3</p><p>En concreto este indicador se refiere al precio medio ponderado resultante de la asignación programada de energía de regulación terciaria a subir</p><p>La fuente de información que proporciona este dato es REE.</p><p><b>Publicación:</b> a más tardar, 30 minutos después del correspondiente periodo de programación.</p>",Precio medio ponderado subir (AP),10398
1932,Precio medio ponderado regulación terciaria a bajar de activación programada (AP),"<p>La regulación terciaria es uno de los servicios de balance de activación de reservas de potencia activa que tiene por objeto mantener la frecuencia y el equilibrio generación-demanda del sistema. Este servicio, de activación manual en un tiempo igual o inferior a 15 minutos, es gestionado por el OS mediante mecanismos del mercado y permite la restitución del uso de reserva automática de regulación secundaria. La asignación del servicio de regulación terciaria se realiza teniendo en cuenta las ofertas enviadas a tal fin por las Unidades de Programación habilitadas para la prestación de este servicio; la energía de regulación terciaria asignada será valorada al precio marginal resultante del proceso de asignación en cada período de programación.</p><p>Este servicio se encuentra regulado en el P.O. 7.3</p><p>En concreto este indicador se refiere al precio medio ponderado resultante de la asignación programada de energía de regulación terciaria a bajar</p><p>La fuente de información que proporciona este dato es REE.</p><p><b>Publicación:</b> a más tardar, 30 minutos después del correspondiente periodo de programación.</p>",Precio medio ponderado bajar (AP),10399
1933,Precio medio ponderado regulación terciaria a subir de activación directa (AD),"<p>La regulación terciaria es uno de los servicios de balance de activación de reservas de potencia activa que tiene por objeto mantener la frecuencia y el equilibrio generación-demanda del sistema. Este servicio, de activación manual en un tiempo igual o inferior a 15 minutos, es gestionado por el OS mediante mecanismos del mercado y permite la restitución del uso de reserva automática de regulación secundaria. La asignación del servicio de regulación terciaria se realiza teniendo en cuenta las ofertas enviadas a tal fin por las Unidades de Programación habilitadas para la prestación de este servicio; la energía de regulación terciaria asignada será valorada al precio marginal resultante del proceso de asignación en cada período de programación.</p><p>Este servicio se encuentra regulado en el P.O. 7.3</p><p>En concreto este indicador se refiere al precio medio ponderado resultante de la asignación directa de energía de regulación terciaria a subir.</p><p>La fuente de información que proporciona este dato es REE.</p><p><b>Publicación:</b> a más tardar, 30 minutos después del correspondiente periodo de programación.</p>",Precio medio ponderado subir (AD),10400
1934,Precio medio ponderado regulación terciaria a bajar de activación directa (AD),"<p>La regulación terciaria es uno de los servicios de balance de activación de reservas de potencia activa que tiene por objeto mantener la frecuencia y el equilibrio generación-demanda del sistema. Este servicio, de activación manual en un tiempo igual o inferior a 15 minutos, es gestionado por el OS mediante mecanismos del mercado y permite la restitución del uso de reserva automática de regulación secundaria. La asignación del servicio de regulación terciaria se realiza teniendo en cuenta las ofertas enviadas a tal fin por las Unidades de Programación habilitadas para la prestación de este servicio; la energía de regulación terciaria asignada será valorada al precio marginal resultante del proceso de asignación en cada período de programación.</p><p>Este servicio se encuentra regulado en el P.O. 7.3</p><p>En concreto este indicador se refiere al precio medio ponderado resultante de la asignación directa de energía de regulación terciaria a bajar.</p><p>La fuente de información que proporciona este dato es REE.</p><p><b>Publicación:</b> a más tardar, 30 minutos después del correspondiente periodo de programación.</p>",Precio medio ponderado bajar (AD),10401
1944,Precio medio ponderado de activación del servicio de respuesta activa de la demanda ,"<p> Es un servicio específico de balance del sistema eléctrico peninsular español que tiene por objeto hacer frente a situaciones de escasez de reserva de balance a subir mediante la obtención de recursos adicionales a los ya disponibles mediante la utilización de los servicios estándar de balance europeos. </p><p>Este servicio se encuentra regulado en el P.O. 7.5 </p><p>En concreto este indicador se refiere al precio medio ponderado resultante del proceso de asignación del servicio de respuesta activa de la demanda. </p><p><b>Publicación:</b> a más tardar, 30 minutos después del correspondiente periodo de programación.</p>",Precio medio ponderado de activación del servicio de respuesta activa de la demanda ,10412
